objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,color,camera,accessmode,edits,genre,depth
coll011,011_teddyii.jpeg,,,Teddy II,Rebecca Zarrella,2019-05-01,"A portrait photo of a light brown dog with dark brown ears, a black nose, and a gray muzzle. The dog’s name is Teddy. He is outside in the grass. Teddy's head is in the bottom-right corner of the photo and he is facing a point to the left, so that the viewer only sees the profile of his face. His head is tilted upward slightly and his eyes are closed, as if he is pleasantly sniffing the air. There is a healed rip in his ear from his days in the kennel. The background is grassy, with a dark brown creek and some fallen branches. Teddy's ear is wet, as if he has been playing in that creek. There is a bridge near the upper-right corner of the photo. The outside lighting appears to be slightly cloudy, although the viewer cannot see the sky in the photo. The colors of the photo are cool due to the editing.",Animals;Dogs,"Clarksburg, MD;Clarksburg, M.D.;Clarksburg, MD.;Clarksburg, Maryland",39.2351223,-77.2513392,Original,11,Image;Still Image;Photograph,image/jpeg,English,,,Brown;Green,Samsung Galaxy S7,Visual;Textual,Instagram,Portrait,Clear
coll012,012_raindropsonflowers.jpeg,,,Raindrops on Flowers,Rebecca Zarrella,2018-06-09,"A close-up photo of two daisies that are in the bottom half of the photo, pointing up toward the upper-right corner. The daisy on the left is closer to the viewer than the one on the right. The daisies have white petals and yellow centers. Some of the petals have small raindrops on them. The lighting is sunny, and the top petals cast small, gentle shadows on the ones beneath them. The depth of the photo is shallow, as the two daisies are in frame but the background is blurry. The background shows several green stems of daisies that have not yet opened, as the viewer can see some closed bulbs on top of the stems.",Nature;Plants;Flowers,"Frederick, MD;Frederick, M.D.;Frederick, MD.;Frederick, Maryland",39.3247083,-77.3457362,Original,12,Image;Still Image;Photograph,image/jpeg,English,,,White;Yellow;Green,Canon EOS Rebel T5i,Visual;Textual,Unedited,Close-Up,Blurry
coll013,013_desertrose.jpeg,,,Desert Rose,Rebecca Zarrella,2021-08-11,"A close-up photo of a desert rose (Adenium Obesum) plant's leaves. The photo is black and white, or monochrome. This photo features a bird's eye view of a single branch of the plant, with five leaves creating a star pattern. The leaves are dark, and one light line runs through the center of each leaf. Although the desert rose plant is known for its colorful flowers, this plant is not currently in bloom. The plant's pot and a few branches are in the background of the photo. The background is slightly blurry.",Nature;Plants;Houseplants,"Severn, MD;Severn, M.D.;Severn, MD.;Severn, Maryland",39.1253896,-76.6766082,Original,13,Image;Still Image;Photograph,image/jpeg,English,,,Black;White;Monochrome,Samsung Galaxy S21,Visual;Textual,Instagram,Close-Up,Blurry
coll014,014_teddyiii.jpeg,,,Teddy III,Rebecca Zarrella,2019-05-18,"A portrait photo of a light brown dog with dark brown ears, a black nose, and a gray muzzle. The dog's name is Teddy. Teddy is wearing a light-blue and gray harness and a light blue collar with yellow and red tags hanging off it. He is lying on a light blue towel in the passenger's seat of a car with black interior. He is looking at a point near the windshield, and the lighting has created a rainbow effect over one of his brown eyes. He appears to have small, black eyebrows that are lifted in interest. The lighting of the photo is cool due to the editing.",Animals;Dogs,"Derwood, MD;Derwood, M.D.;Derwood, MD.;Derwood, Maryland",39.1157732,-77.1662877,Original,14,Image;Still Image;Photograph,image/jpeg,English,,,Brown;Blue,Samsung Galaxy S7,Visual;Textual,Instagram,Portrait,Clear
coll015,015_sanjosebridge.jpeg,,,San Jose Bridge,Rebecca Zarrella,2017-09-12,"A landscape photo of cars driving across a bridge in California, from the point of view of the car in the second-to-rightmost lane. The bridge is tall and white, and it appears to be wrapping around the frame on both sides. The cars are all moving in one direction. They are mostly dark gray cars, but three are white and one is blue. The sky is a bright, overexposed blue with a few white streaks. The sky is whiter near the bottom of the picture, and there is what looks like a collection of trees on the horizon. The overexposed nature of the photo and the cool tones that are utilized due to the editing cast a blue-ish sheen on everything.",Outdoor;Landscapes;Objects,"San Jose, CA;San Jose, C.A.;San Jose, CA.;San Jose, California",37.3381447,-121.8863398,Original,15,Image;Still Image;Photograph,image/jpeg,English,,,Blue;White,Samsung Galaxy S7,Visual;Textual,Instagram,Landscape,Clear
coll016,016_chicken.jpeg,,,Chicken,Rebecca Zarrella,2017-09-22,"A portrait photo of a chicken in a cage at a fair. This is a profile view of the chicken. The chicken has light brown and medium brown feathers, a red wattle (the part of the chicken that is under the beak) and a red comb (the part of the chicken that on the top of the head), a light brown beak, and medium brown eyes. The skin around the chicken's eyes is a combination of red and light brown. The chicken is looking off at a point to the left of the camera, with an almost grumpy expression on his face, and a slightly-open beak. The background of the photo is slightly blurry, but the viewer can see the bars of the gray cage, light brown hay on the floor of the cage, and the white and brown interior of the barn the chicken is staying in.",Animals;Chickens,"Frederick, MD;Frederick, M.D.;Frederick, MD.;Frederick, Maryland",39.4111089,-77.394599,Original,16,Image;Still Image;Photograph,image/jpeg,English,,,Brown;Red,Samsung Galaxy S7,Visual;Textual,Instagram,Portrait,Blurry
coll017,017_bonsai.jpeg,,,Bonsai,Rebecca Zarrella,2021-10-15,"A close-up photo of two yellow leaves with green streaks lying on a bed of small, gray rocks. These are leaves that fell off a ginseng ficus bonsai tree. The leaves are almost entirely yellow except for a few green streaks that start from the center of the leaf and move outwards. The leaf at the bottom of the picture points to the one above it, and the leaf at the top of the picture points toward a point near the top-left frame. There is a brown, slightly blurry bonsai branch to the left of the photo. The white and brown edge of the pot is visible and it is a V-shape that surrounds theleaves, rocks, and branch.",Nature;Plants;Houseplants;Leaves,"Severn, MD;Severn, M.D.;Severn, MD.;Severn, Maryland",39.1253896,-76.6766082,Original,17,Image;Still Image;Photograph,image/jpeg,English,,,Gray;Yellow;Green;Brown;White,Samsung Galaxy S21,Visual;Textual,Samsung Galaxy,Close-Up,Clear
coll018,018_lighthouseview.jpeg,,,Lighthouse View,Rebecca Zarrella,2021-10-19,"A landscape photo of the view from the top of the Currituck Beach Lighthouse in Duck, North Carolina. The photo shows the horizon of a town on the coast. The objects on land are small, but the viewer can make out many green trees, a few houses, and a bay that leads to the bright blue water. More than half of this photo is the sky, and rays from the sun are cast down on the blue water to create a white effect. The sky is a bright blue without any clouds, and it turns to a lighter blue color as it nears the horizon. The photo is slightly crooked, with the right part of the photo slightly further down than the left.",Outdoor;Landscapes;Horizon,"Duck, NC;Duck, N.C.;Duck, NC.;Duck, North Carolina",36.3767855,-75.8303575,Original,18,Image;Still Image;Photograph,image/jpeg,English,,,Blue;White;Green,Samsung Galaxy S21,Visual;Textual,Unedited,Landscape,Clear
coll019,019_boat.jpeg,,,Boat,Rebecca Zarrella,2017-09-14,"A landscape photo of a dark brown row boat on light brown sand. The boat has four wooden slats for seats and one oar on either side. The boat casts a long black shadow on the sand beneath it. The boat is in the lower right corner of the photograph, and the front of the boat is pointing to the right, where there is a blue body of water in the background. To the left of the boat is a dock that leads out to the body of water, with a United States flag at half mast partway down the dock. Above the boat, water, and dock is a blue sky with a few streaky, white clouds. The photo is overexposed and the tone is blue due to the editing. The overexposure casts an additional blue tone over the rest of the photo.",Outdoor;Landscapes;Objects,"Monterey, CA;Monterey, C.A.;Monterey, CA.;Monterey, California",36.6042798,-121.8925884,Original,19,Image;Still Image;Photograph,image/jpeg,English,,,Blue;Brown,Samsung Galaxy S7,Visual;Textual,Instagram,Landscape,Clear
coll020,020_teddyiv.jpeg,,,Teddy IV,Rebecca Zarrella,2018-08-25,"A portrait photo of a light brown dog with a white streak on his chest, dark brown ears, a black nose, and a gray muzzle. The dog's name is Teddy. Teddy is standing outside on a chair that is a darker brown than he is, facing the camera. The viewer can see the front of most of Teddy's body, except for his feet. Teddy has a happy expression on his face, and he appears to have black eyebrows which are perked up in interest. Teddy almost appears to be smiling. He has a rip in one of his ears from his time in the kennel. His ears are wet. The viewer can see his brown tail behind him, and it is curved to the side as if he has been wagging it. The background is slightly blurry, but the viewer can see a few non-descript items on the chair Teddy stands on, such as something that looks like a green doggy bag, something black, and a white and blue striped towel. The viewer can also see black bars behind the chair and buildings in the distance. This picture was taken at the pool of an apartment complex in Urbana, Maryland, where there was a doggy pool day for all of the dogs to play in the pool on the day it closed.",Animals;Dogs,"Frederick, MD;Frederick, M.D.;Frederick, MD.;Frederick, Maryland",39.3247083,-77.3457362,Original,20,Image;Still Image;Photograph,image/jpeg,English,,,Brown,Canon EOS Rebel T5i,Visual;Textual,Unedited,Portrait,Blurry
